名稱,類別,地區,片長,上映日期,評分,星等價值
霸王別姬 - Farewell My Concubine,"劇情, 愛情",中國內地、中國香港,171 分鐘,1993-07-26,9.5,4.75
這個殺手不太冷 - Léon,"劇情, 動作, 犯罪",法國,110 分鐘,1994-09-14,9.5,4.75
肖申克的救贖 - The Shawshank Redemption,"劇情, 犯罪",美國,142 分鐘,1994-09-10,9.5,4.75
泰坦尼克號 - Titanic,"劇情, 愛情, 災難",美國,194 分鐘,1998-04-03,9.5,4.75
羅馬假日 - Roman Holiday,"劇情, 喜劇, 愛情",美國,118 分鐘,1953-08-20,9.5,4.75
唐伯虎點秋香 - Flirting Scholar,"喜劇, 愛情, 古裝",中國香港,102 分鐘,1993-07-01,9.5,4.75
亂世佳人 - Gone with the Wind,"劇情, 愛情, 歷史, 戰爭",美國,238 分鐘,1939-12-15,9.5,4.75
喜劇之王 - The King of Comedy,"劇情, 喜劇, 愛情",中國香港,85 分鐘,1999-02-13,9.5,4.75
楚門的世界 - The Truman Show,"劇情, 科幻",美國,103 分鐘,未知,9.0,4.75
獅子王 - The Lion King,"動畫, 歌舞, 冒險",美國,89 分鐘,1995-07-15,9.0,4.75
V字仇殺隊 - V for Vendetta,"劇情, 動作, 科幻, 驚悚",美國、英國、德國,132 分鐘,2005-12-11,8.9,4.75
少年派的奇幻漂流 - Life of Pi,"劇情, 奇幻, 冒險",美國、臺灣、英國、加拿大,127 分鐘,2012-11-22,8.9,4.75
美麗心靈 - A Beautiful Mind,"劇情, 傳記",美國,135 分鐘,2001-12-13,8.8,4.75
初戀這件小事 - สิ่งเล็กเล็กที่เรียกว่า...รัก,"喜劇, 愛情",泰國,118 分鐘,2012-06-05,8.9,4.75
借東西的小人阿莉埃蒂 - 借りぐらしのアリエッティ,"動畫, 奇幻, 冒險",日本,94 分鐘,2010-07-17,8.8,4.75
一一 - Yi yi: A One and a Two,"劇情, 愛情, 家庭",臺灣、日本,173 分鐘,2000-05-15,8.8,4.75
美麗人生 - La vita è bella,"戰爭, 劇情, 愛情",義大利,116 分鐘,2020-01-03,9.1,4.75
海上鋼琴師 - La leggenda del pianista sull'oceano,"劇情, 愛情, 音樂",義大利,126 分鐘,2019-11-15,9.1,4.75
千與千尋 - 千と千尋の神隠し,"動畫, 冒險, 奇幻, 家庭",日本,125 分鐘,2019-06-21,9.1,4.75
遷徙的鳥 - The Travelling Birds,紀錄片,法國、德國、義大利、西班牙、瑞士,98 分鐘,2001-12-12,9.1,4.75
"黃金三鏢客 - Il buono, il brutto, il cattivo.","西部, 冒險",義大利、西班牙、西德,161 分鐘,1966-12-23,9.1,4.75
海洋 - Océans,紀錄片,法國、瑞士、西班牙、美國、阿聯酋,104 分鐘,2011-08-12,9.1,4.75
我愛你 - 그대를 사랑합니다,"劇情, 愛情",韓國,118 分鐘,2011-02-17,9.1,4.75
阿飛正傳 - Days of Being Wild,"劇情, 愛情, 犯罪",中國香港,94 分鐘,2018-06-25,9.1,4.75
7號房的禮物 - 7번방의 선물,"劇情, 喜劇, 家庭",韓國,127 分鐘,2013-01-23,8.8,4.75
愛·回家 - 집으로...,"劇情, 家庭",韓國,80 分鐘,2002-04-05,9.1,4.75
龍貓 - となりのトトロ,"動畫, 冒險, 奇幻, 家庭",日本,86 分鐘,2018-12-14,9.1,4.75
